,t,x,y,z
660,6.6000000000000005,4.85452640605449,0.35265702623378536,28.88466118848169
661,6.61,4.424502335048993,0.3253457529442758,28.139954622381637
662,6.62,4.034470831262742,0.33136059441365084,27.413058587536845
663,6.63,3.683466576874441,0.36404140643127486,26.70484948733901
664,6.640000000000001,3.370034795918983,0.41780300753701144,26.015657934066535
665,6.65,3.092376706973752,0.4880600648896426,25.345451862553706
666,6.66,2.848472942998413,0.5711326567749767,24.693972892217662
667,6.67,2.6361857843343874,0.6641439944600044,24.060834620531455
668,6.68,2.453341878907003,0.7649181283422738,23.445591160136832
669,6.69,2.2977975678412323,0.8718826788778264,22.84778326187841
670,6.7,2.1674891088642543,0.9839795945264282,22.26696815736158
671,6.71,2.0604700835275054,1.1005854973188616,21.702738031037203
672,6.72,1.9749381544222542,1.2214421903360957,21.154730917769758
673,6.73,1.9092531533356014,1.3465972506701605,20.62263687462044
674,6.74,1.8619482640661256,1.4763542212743055,20.106201510266207
675,6.75,1.8317358366646102,1.6112316732114844,19.605228363023684
676,6.76,1.8175091474041942,1.7519302826959948,19.119581177812485
677,6.7700000000000005,1.8183412093295022,1.899307016084945,18.649186818248364
678,6.78,1.8334815463356742,2.054355512491409,18.194039337295873
679,6.79,1.862351671221116,2.218191777554368,17.754205595995195
680,6.8,1.9045398550366535,2.3920443380696073,17.329832745702117
681,6.8100000000000005,1.9597956400687184,2.5772480442277272,16.92115785968514
682,6.82,2.028024429846985,2.7752407350018755,16.528520002733906
683,6.83,2.1092823839632655,2.987561995009675,16.15237505323258
684,6.84,2.2037717500859393,3.2158532207834476,15.793313633433407
685,6.8500000000000005,2.31183667683376,3.461858173692349,15.452082554002196
686,6.86,2.4339594652542758,3.727423118204352,15.129610232061397
687,6.87,2.5707571292681184,4.014495519390402,14.827036590886093
688,6.88,2.722978041885073,4.325120093156373,14.545747985124377
689,6.890000000000001,2.8914983390651625,4.661430756154781,14.287417705601875
690,6.9,3.077317631035825,5.025636698362974,14.054052585094087
691,6.91,3.2815534253907224,5.42000038852712,13.848046126444553
692,6.92,3.505433490662505,5.846804811141436,13.672238372896958
693,6.93,3.7502851764297014,6.308306617692807,13.529982390554897
694,6.94,4.017520450032329,6.806671157785382,13.425216671389151
695,6.95,4.3086151059045035,7.343884556967287,13.362541909614208
696,6.96,4.625080250183468,7.921637174543294,13.347299350156081
697,6.97,4.968423765960727,8.541171996943099,13.385646129344677
698,6.98,5.340099039741285,9.203090956931971,13.484620583005665
699,6.99,5.741437811495578,9.907112067842386,13.65218724375631
700,7.0,6.17356365994781,10.651771006511147,13.897247077910968
701,7.01,6.637282450495827,11.434062914979242,14.229593404547366
702,7.0200000000000005,7.132946206054438,12.24902445439763,14.659788063785989
703,7.03,7.660287526416296,13.08926344962657,15.19892625778809
704,7.04,8.21822316709351,13.944454823139575,15.858253100538251
705,7.05,8.804628047829075,14.800837836312965,16.64859205651248
706,7.0600000000000005,9.416085179559822,15.640771325748862,17.579547852179424
707,7.07,10.047623112059352,16.442429857175718,18.65845784151676
708,7.08,10.6924606482716,17.179751637345934,19.889090625366432
709,7.09,11.341788449897965,17.822772609411295,21.27013311861073
710,7.1000000000000005,11.984627747749204,18.338490524790384,22.793569192409194
711,7.11,12.607815621500428,18.692384518268994,24.443131329241652
712,7.12,13.196171014314174,18.85065533219905,26.193089694066828
713,7.13,13.73289167184587,18.783138796284224,28.007707938949963
714,7.140000000000001,14.200215399239553,18.466683221002764,29.84170940726106
715,7.15,14.580346911122763,17.888594292967657,31.642026511954153
716,7.16,14.856605389794643,17.049588496927253,33.35092824833706
717,7.17,15.014694517366978,15.965625158806427,34.91034639287723
718,7.18,15.043948761825074,14.66806945205658,36.266905418075105
719,7.19,14.938382682719455,13.201897063581697,37.376899768212695
720,7.2,14.697377250251245,11.622043294272606,38.21035911641689
721,7.21,14.325883313585104,9.988417543365284,38.75346301031062
722,7.22,13.834099590397159,8.360411925917614,39.008897514675425
723,7.23,13.236671819635838,6.791824234499655,38.99419065809533
724,7.24,12.551537319314857,5.326964947675776,38.73847793693176
725,7.25,11.798585723136968,3.9983903902665627,38.27840873580482
726,7.26,10.998313850200137,2.826320020313407,37.65395310846836
727,7.2700000000000005,10.170624849139863,1.8194744996316148,36.90473124160429
728,7.28,9.333872226146388,0.9768850391207095,36.06724541558051
729,7.29,8.504194022248972,0.29018438218841935,35.173137989485056
730,7.3,7.695134236599554,-0.25403994882712955,34.24839628489474
731,7.3100000000000005,6.917514836537261,-0.6721231503844306,33.31330536197167
732,7.32,6.179503855418448,-0.9815906525825173,32.382908748391664
733,7.33,5.486820690953985,-1.1998647525736303,31.46775300395928
734,7.34,4.843024539162558,-1.3433849935707256,30.57473823571828
735,7.3500000000000005,4.249841643041413,-1.4270768143637638,29.70795172805573
736,7.36,3.707498321278057,-1.464089195430605,28.869412078187608
737,7.37,3.2150373866536492,-1.465724944727737,28.059690325893627
738,7.38,2.770604448863868,-1.441498726446239,27.278401347819536
739,7.390000000000001,2.371697373361375,-1.3992722176848855,26.524574848495597
740,7.4,2.0153769482488157,-1.3454295114105832,25.796923264187132
741,7.41,1.69843992590564,-1.285067476837188,25.094026450375406
742,7.42,1.4175574460010063,-1.2221847840351037,24.41445232679009
